Airport__Name,Aircraft__Make_Model,Effect__Amount_of_damage,Flight_Date,Aircraft__Airline_Operator,Origin_State,When__Phase_of_flight,Wildlife__Size,Wildlife__Species,When__Time_of_day,Cost__Other,Cost__Repair,Cost__Total_$,Speed_IAS_in_knots
DALLAS/FORT WORTH INTL ARPT,DC-10,None,5/27/93 0:00,AMERICAN AIRLINES,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
SALT LAKE CITY INTL,B-727,None,8/22/98 0:00,ASTAR AIR CARGO,Utah,Climb,Medium,Unknown bird - medium,Day,0,0,0,
JOHN F KENNEDY INTL,A-300,Minor,6/7/98 0:00,AMERICAN AIRLINES,New York,Take-off run,Small,Unknown bird - small,Day,0,0,0,150.0
GREATER PITTSBURGH,DHC8 DASH 8,None,10/10/99 0:00,PIEDMONT AIRLINES,Pennsylvania,Approach,Medium,Unknown bird - medium,Day,0,0,0,100.0
ORLANDO INTL,B-737,None,2/5/97 0:00,DELTA AIR LINES,Florida,Approach,Small,Unknown bird - small,Night,0,0,0,140.0
LOS ANGELES INTL,B-767-200,Medium,11/2/99 0:00,TRANS WORLD AIRLINES,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,
PORT COLUMBUS INTL,DC-9,None,5/2/96 0:00,NORTHWEST AIRLINES,Ohio,Approach,Large,Unknown bird - large,Night,0,0,0,
AUSTIN-BERGSTROM INTL,B-737-300,None,9/6/97 0:00,SOUTHWEST AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,180.0
DALLAS/FORT WORTH INTL ARPT,MD-80,None,8/12/00 0:00,AMERICAN AIRLINES,Texas,Landing Roll,Small,Mourning dove,Day,0,0,0,
ORLANDO INTL,B-737-400,None,10/1/92 0:00,US AIRWAYS*,Florida,Approach,Small,Unknown bird - small,Night,0,0,0,143.0
BARKSDALE AIR FORCE BASE ARPT,B-52G,None,9/18/91 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,160.0
PHOENIX SKY HARBOR,B-737-300,None,5/12/91 0:00,SOUTHWEST AIRLINES,Arizona,Approach,Medium,Unknown bird - medium,Night,0,0,0,200.0
RONALD REAGAN WASHINGTON NATL,MD-82,None,10/2/92 0:00,AMERICAN AIRLINES,DC,Approach,Medium,Unknown bird - medium,Day,0,0,0,130.0
PHILADELPHIA INTL,B-727-200,None,10/11/00 0:00,DELTA AIR LINES,Pennsylvania,Approach,Small,Unknown bird - small,Night,0,0,0,180.0
LOUISVILLE INTL ARPT,B-767-300,None,7/9/97 0:00,UPS AIRLINES,Kentucky,Approach,Medium,Unknown bird - medium,Night,0,0,0,
PHILADELPHIA INTL,B-737-300,None,10/24/96 0:00,US AIRWAYS*,Pennsylvania,Approach,Medium,Unknown bird - medium,Night,0,0,0,230.0
CHARLESTON AFB/INTL ARPT,C-21A,None,7/7/01 0:00,MILITARY,South Carolina,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,100.0
CHARLESTON AFB/INTL ARPT,MD-80,None,7/6/90 0:00,AMERICAN AIRLINES,South Carolina,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,100.0
GEORGE BUSH INTERCONTINENTAL,B-727,Substantial,5/24/00 0:00,DELTA AIR LINES,Texas,Descent,Medium,Unknown bird - medium,Day,0,0,0,
ATLANTIC CITY INTL,LOCKHEED 1329,None,10/12/96 0:00,BUSINESS,New Jersey,Approach,Large,Unknown bird - large,Night,0,0,0,200.0
NEW ORLEANS INTL,B-737-300,None,11/7/95 0:00,US AIRWAYS*,Louisiana,Landing Roll,Medium,Unknown bird - medium,Night,0,0,0,135.0
DALLAS/FORT WORTH INTL ARPT,B-757-200,None,3/31/00 0:00,AMERICAN AIRLINES,Texas,Approach,Small,European starling,Day,0,0,0,130.0
LOUISVILLE INTL ARPT,EMB-145,None,6/24/01 0:00,EXPRESSJET (CONTINENTAL EXPRS),Kentucky,Take-off run,Small,Killdeer,Day,0,0,0,130.0
LAMBERT-ST LOUIS INTL,B-727-200,None,3/13/95 0:00,TRANS WORLD AIRLINES,Missouri,Climb,Large,Unknown bird - large,Night,0,0,0,250.0
MINNEAPOLIS-ST PAUL INTL,DC-9-50,None,3/11/93 0:00,UNKNOWN,Minnesota,Approach,Large,Unknown bird - large,Dusk,0,0,0,140.0
NASHVILLE INTL,B-727-200,None,7/13/91 0:00,AMERICAN AIRLINES,Tennessee,Take-off run,Small,Unknown bird - small,Day,0,0,0,137.0
NEWARK LIBERTY INTL ARPT,DC-10,None,5/7/02 0:00,FEDEX EXPRESS,New Jersey,Approach,Medium,Unknown bird - medium,Night,0,0,0,
NASHVILLE INTL,B-727-200,None,9/17/90 0:00,AMERICAN AIRLINES,Tennessee,Approach,Medium,Unknown bird - medium,Night,0,0,0,230.0
LOUISVILLE INTL ARPT,B-757-200,None,6/6/02 0:00,UPS AIRLINES,Kentucky,Climb,Small,Unknown bird - small,Night,0,0,0,150.0
AUSTIN-BERGSTROM INTL,FOKKER F100,None,10/19/99 0:00,AMERICAN AIRLINES,Texas,Climb,Small,Unknown bird - small,Dawn,0,0,0,130.0
PORT COLUMBUS INTL,A-320,None,1/31/00 0:00,NORTHWEST AIRLINES,Ohio,Approach,Small,Unknown bird - small,Dusk,0,0,0,
BALTIMORE WASH INTL,B-737-200,None,4/28/01 0:00,US AIRWAYS*,Maryland,Approach,Small,Unknown bird - small,Day,0,0,0,
EPPLEY AIRFIELD,B-737-300,None,5/14/02 0:00,SOUTHWEST AIRLINES,Nebraska,Approach,Small,Unknown bird - small,Night,0,0,0,190.0
DALLAS/FORT WORTH INTL ARPT,MD-11,None,12/8/93 0:00,AMERICAN AIRLINES,Texas,Landing Roll,Small,Unknown bird - small,Day,0,0,0,120.0
SALT LAKE CITY INTL,B-727,None,5/9/92 0:00,TRANS WORLD AIRLINES,Utah,Take-off run,Small,Unknown bird - small,Day,0,0,0,150.0
CHICAGO O'HARE INTL ARPT,FOKKER F100,None,6/27/93 0:00,AMERICAN AIRLINES,Illinois,Approach,Small,Unknown bird - small,Dusk,0,0,0,130.0
MEMPHIS INTL,DC-9,None,9/8/98 0:00,UNKNOWN,Tennessee,Landing Roll,Small,Unknown bird - small,Day,0,0,0,100.0
GREATER PITTSBURGH,DC-9,None,5/28/92 0:00,US AIRWAYS*,Pennsylvania,Landing Roll,Small,American robin,Day,0,0,0,120.0
LOUISVILLE INTL ARPT,B-737-300,None,6/9/93 0:00,SOUTHWEST AIRLINES,Kentucky,Landing Roll,Medium,Unknown bird - medium,Night,0,0,0,100.0
SACRAMENTO INTL,T-38A,None,7/23/96 0:00,MILITARY,California,Climb,Medium,Unknown bird - medium,Day,0,0,0,
CHICAGO O'HARE INTL ARPT,B-727-200,None,8/20/94 0:00,AMERICAN AIRLINES,Illinois,Approach,Small,Unknown bird - small,Day,0,0,0,170.0
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,8/20/93 0:00,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,129.0
LIHUE ARPT,DC-9,None,1/13/97 0:00,HAWAIIAN AIR,Hawaii,Landing Roll,Small,Barn owl,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,FOKKER F100,None,7/23/01 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Rock pigeon,Day,0,0,0,135.0
FORT LAUDERDALE/HOLLYWOOD INTL,A-320,None,9/8/00 0:00,NORTHWEST AIRLINES,Florida,Landing Roll,Small,Unknown bird - small,Day,0,0,0,100.0
MEMPHIS INTL,A-310,Substantial,10/18/96 0:00,FEDEX EXPRESS,Tennessee,Climb,Large,Canada goose,Night,0,0,0,165.0
CLEVELAND-HOPKINS INTL ARPT,MD-80,None,8/11/94 0:00,CONTINENTAL AIRLINES,Ohio,Landing Roll,Small,European starling,Dusk,0,0,0,135.0
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,6/22/90 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,150.0
PORTLAND INTL (OR),DC-8-62,None,5/6/99 0:00,ABX AIR,Oregon,Approach,Medium,Unknown bird - medium,Night,0,0,0,
HONOLULU INTL ARPT,L-1011,Minor,11/23/95 0:00,DELTA AIR LINES,Hawaii,Approach,Small,Unknown bird - small,Day,0,0,0,150.0
MINETA SAN JOSE INTL,A-320,None,10/31/00 0:00,NORTHWEST AIRLINES,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,140.0
SACRAMENTO INTL,B-737-300,Minor,2/21/95 0:00,SOUTHWEST AIRLINES,California,Descent,Large,Unknown bird - large,Night,0,0,0,210.0
EPPLEY AIRFIELD,MD-80,None,4/22/91 0:00,AMERICAN AIRLINES,Nebraska,Approach,Small,Unknown bird - small,Night,0,0,0,140.0
AUSTIN-BERGSTROM INTL,MD-80,None,6/8/99 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,180.0
WASHINGTON DULLES INTL ARPT,MD-80,None,10/5/97 0:00,AMERICAN AIRLINES,DC,Approach,Medium,Unknown bird - medium,Day,0,0,0,
CHICAGO O'HARE INTL ARPT,B-757-200,None,4/2/97 0:00,UNITED AIRLINES,Illinois,Approach,Medium,Ring-billed gull,Day,0,0,0,160.0
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,11/15/93 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,135.0
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,B-727-200,None,7/30/00 0:00,DELTA AIR LINES,Kentucky,Approach,Small,Unknown bird - small,Day,0,0,0,140.0
DETROIT METRO WAYNE COUNTY ARPT,DC-9,None,8/31/90 0:00,NORTHWEST AIRLINES,Michigan,Approach,Medium,Unknown bird - medium,Dusk,0,0,0,
PHOENIX SKY HARBOR,A-320,None,6/17/97 0:00,AIR CANADA,Arizona,Approach,Medium,Unknown bird - medium,Day,0,0,0,
JOHN F KENNEDY INTL,A-300,Substantial,1/19/91 0:00,AMERICAN AIRLINES,New York,Take-off run,Medium,Herring gull,Day,0,0,0,110.0
NEW ORLEANS INTL,B-727,None,11/29/94 0:00,AMERICAN AIRLINES,Louisiana,Take-off run,Small,Unknown bird - small,Day,0,0,0,130.0
LAGUARDIA NY,B-737-300,None,9/16/95 0:00,US AIRWAYS*,New York,Landing Roll,Medium,Herring gull,Day,0,0,0,127.0
HONOLULU INTL ARPT,DC-9,None,2/27/97 0:00,HAWAIIAN AIR,Hawaii,Climb,Small,Unknown bird - small,Day,0,0,0,140.0
DALLAS/FORT WORTH INTL ARPT,MD-82,None,10/13/97 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,180.0
NEW ORLEANS INTL,B-737,None,4/4/02 0:00,SOUTHWEST AIRLINES,Louisiana,Approach,Medium,Unknown bird - medium,Night,0,0,0,
BARKSDALE AIR FORCE BASE ARPT,B-52H,None,8/27/97 0:00,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,120.0
NEW ORLEANS INTL,B-737-300,None,11/7/94 0:00,SOUTHWEST AIRLINES,Louisiana,Approach,Small,Unknown bird - small,Night,0,0,0,160.0
SALT LAKE CITY INTL,B-737-300,None,2/12/01 0:00,SOUTHWEST AIRLINES,Utah,Landing Roll,Small,Unknown bird - small,Day,0,0,0,
SACRAMENTO INTL,MD-80,None,8/22/93 0:00,AMERICAN AIRLINES,California,Take-off run,Small,Unknown bird - small,Day,0,0,0,90.0
CHARLESTON AFB/INTL ARPT,C-17A,None,8/11/99 0:00,MILITARY,South Carolina,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,
CHARLOTTE/DOUGLAS INTL ARPT,B-737-200,Substantial,9/1/90 0:00,US AIRWAYS*,North Carolina,Take-off run,Medium,Unknown bird - medium,Dusk,0,0,0,130.0
EPPLEY AIRFIELD,B-727,None,10/8/98 0:00,TRANS WORLD AIRLINES,Nebraska,Climb,Small,European starling,Day,0,0,0,150.0
HOUSTON-HOBBY,B-727-200,None,5/10/91 0:00,AMERICAN AIRLINES,Texas,Approach,Small,European starling,Day,0,0,0,145.0
LAMBERT-ST LOUIS INTL,FOKKER F28 MK 1000,None,11/25/91 0:00,US AIRWAYS*,Missouri,Climb,Small,Unknown bird - small,Dawn,0,0,0,165.0
CHARLOTTE/DOUGLAS INTL ARPT,MD-80,None,4/25/95 0:00,US AIRWAYS*,North Carolina,Approach,Small,Unknown bird - small,Day,0,0,0,140.0
NEW ORLEANS INTL,B-737-300,None,4/18/96 0:00,UNITED AIRLINES,Louisiana,Take-off run,Medium,Unknown bird - medium,Dawn,0,0,0,
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,B-757-200,None,1/6/02 0:00,DELTA AIR LINES,Kentucky,Approach,Small,European starling,Dawn,0,0,0,130.0
DALLAS/FORT WORTH INTL ARPT,SAAB-340,None,11/19/01 0:00,AMERICAN EAGLE AIRLINES,Texas,Landing Roll,Small,Unknown bird - small,Day,0,0,0,115.0
MEMPHIS INTL,DC-9-30,None,9/17/99 0:00,ABX AIR,Tennessee,Approach,Medium,Unknown bird - medium,Night,0,0,0,
BALTIMORE WASH INTL,B-737-400,None,8/7/91 0:00,US AIRWAYS*,Maryland,Climb,Small,Unknown bird - small,Day,0,0,0,
CHICAGO O'HARE INTL ARPT,B-757-200,None,6/12/00 0:00,AMERICAN AIRLINES,Illinois,Approach,Small,Unknown bird - small,Day,0,0,0,140.0
CHARLOTTE/DOUGLAS INTL ARPT,DC-9-30,None,11/14/94 0:00,US AIRWAYS*,North Carolina,Approach,Small,Unknown bird - small,Night,0,0,0,180.0
PORTLAND INTL (OR),A-320,None,9/10/01 0:00,NORTHWEST AIRLINES,Oregon,Approach,Small,Unknown bird - small,Night,0,0,0,145.0
INDIANAPOLIS INTL,DC-10,None,5/1/01 0:00,FEDEX EXPRESS,Indiana,Approach,Small,Unknown bird - small,Night,0,0,0,180.0
SAN ANTONIO INTL,B-727,None,5/4/95 0:00,UPS AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,220.0
LIHUE ARPT,DC-9-50,None,1/13/01 0:00,HAWAIIAN AIR,Hawaii,Landing Roll,Small,Unknown bird - small,Day,0,0,0,110.0
SAN ANTONIO INTL,B-727-200,None,10/15/99 0:00,DELTA AIR LINES,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,140.0
WASHINGTON DULLES INTL ARPT,CL-RJ100/200,None,1/28/99 0:00,ATLANTIC COAST AIRLINES,DC,Approach,Small,Unknown bird - small,Night,0,0,0,133.0
ORLANDO INTL,MD-80,None,10/6/96 0:00,CONTINENTAL AIRLINES,Florida,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,MD-82,None,10/29/91 0:00,AMERICAN AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Night,0,0,0,180.0
CHICAGO O'HARE INTL ARPT,B-767-200,None,9/8/92 0:00,AMERICAN AIRLINES,Illinois,Climb,Medium,Unknown bird - medium,Night,0,0,0,250.0
LAMBERT-ST LOUIS INTL,DA-50 FALCON,None,6/14/02 0:00,BUSINESS,Missouri,Landing Roll,Large,Coyote,Day,0,0,0,
PORTLAND INTL (OR),DORNIER 328,Minor,11/25/95 0:00,HORIZON AIR,Oregon,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
GREATER PITTSBURGH,B-737-200,Medium,12/12/93 0:00,US AIRWAYS*,Pennsylvania,Climb,Medium,Unknown bird - medium,Night,0,0,0,190.0
INDIANAPOLIS INTL,BE-300 KING,None,5/24/00 0:00,BUSINESS,Indiana,Approach,Small,Unknown bird - small,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,SAAB-340,None,4/23/01 0:00,AMERICAN EAGLE AIRLINES,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,MD-80,None,5/7/94 0:00,AMERICAN AIRLINES,Texas,Landing Roll,Small,Unknown bird - small,Day,0,0,0,
NASHVILLE INTL,B-737-700,None,10/8/00 0:00,SOUTHWEST AIRLINES,Tennessee,Climb,Medium,Unknown bird - medium,Day,0,0,0,150.0
PHILADELPHIA INTL,DC-8-70,None,3/29/97 0:00,UPS AIRLINES,Pennsylvania,Descent,Medium,Unknown bird - medium,Night,0,0,0,215.0
WASHINGTON DULLES INTL ARPT,MD-80,None,5/9/91 0:00,AMERICAN AIRLINES,DC,Climb,Small,Unknown bird - small,Day,0,0,0,160.0
ORLANDO INTL,MD-82,None,12/22/92 0:00,AMERICAN AIRLINES,Florida,Approach,Small,Unknown bird - small,Day,0,0,0,135.0
HONOLULU INTL ARPT,EC-135,None,1/28/92 0:00,MILITARY,Hawaii,Landing Roll,Medium,Unknown bird or bat,Day,0,0,0,140.0
ORLANDO INTL,MD-80,None,2/25/96 0:00,CONTINENTAL AIRLINES,Florida,Approach,Large,Unknown bird - large,Day,0,0,0,160.0
SEATTLE-TACOMA INTL,B-737-400,None,8/27/99 0:00,ALASKA AIRLINES,Washington,Approach,Small,Unknown bird - small,Dusk,0,0,0,
HOUSTON-HOBBY,B-737-200,None,11/4/01 0:00,SOUTHWEST AIRLINES,Texas,Descent,Small,Unknown bird - small,Night,0,0,0,250.0
LAMBERT-ST LOUIS INTL,B-727,None,11/21/94 0:00,TRANS WORLD AIRLINES,Missouri,Approach,Small,Unknown bird - small,Night,0,0,0,130.0
JOHN F KENNEDY INTL,MD-83,None,11/10/98 0:00,TRANS WORLD AIRLINES,New York,Take-off run,Small,Unknown bird - small,Dusk,0,0,0,140.0
BARKSDALE AIR FORCE BASE ARPT,KC-135,None,8/27/92 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,180.0
MEMPHIS INTL,A-320,None,12/19/95 0:00,NORTHWEST AIRLINES,Tennessee,Take-off run,Small,Unknown bird - small,Day,0,0,0,
MEMPHIS INTL,SAAB-340,None,9/23/98 0:00,BUSINESS,Tennessee,Approach,Small,Unknown bird - small,Day,0,0,0,120.0
KANSAS CITY INTL,A-300,None,10/5/01 0:00,FEDEX EXPRESS,Missouri,Approach,Small,Unknown bird - small,Dawn,0,0,0,165.0
NEW ORLEANS INTL,MD-80,None,6/2/00 0:00,TRANS WORLD AIRLINES,Louisiana,Landing Roll,Small,Unknown bird - small,Day,0,0,0,124.0
DALLAS/FORT WORTH INTL ARPT,B-727,None,11/21/96 0:00,DELTA AIR LINES,Texas,Climb,Medium,Unknown bird - medium,Day,0,0,0,
EPPLEY AIRFIELD,LEARJET-35,None,11/1/01 0:00,BUSINESS,Nebraska,Climb,Small,Unknown bird - small,Day,0,0,0,180.0
HONOLULU INTL ARPT,DC-9-50,None,4/2/95 0:00,HAWAIIAN AIR,Hawaii,Take-off run,Small,Pacific golden-plover,Day,0,0,0,120.0
GEORGE BUSH INTERCONTINENTAL,EMB-120,None,9/21/99 0:00,EXPRESSJET (CONTINENTAL EXPRS),Texas,Climb,Medium,Unknown bird - medium,Night,0,0,0,
SEATTLE-TACOMA INTL,MD-80,None,5/29/96 0:00,ALASKA AIRLINES,Washington,Approach,Medium,Unknown bird - medium,Day,0,0,0,
JOHN F KENNEDY INTL,MD-80,None,11/14/91 0:00,BUSINESS,New York,Approach,Medium,Unknown bird - medium,Night,0,0,0,
WASHINGTON DULLES INTL ARPT,CL-RJ100/200,None,5/29/98 0:00,UNKNOWN,DC,Landing Roll,Small,European starling,Day,0,0,0,120.0
GEORGE BUSH INTERCONTINENTAL,EMB-120,None,2/12/93 0:00,EXPRESSJET (CONTINENTAL EXPRS),Texas,Approach,Small,Unknown bird - small,Day,0,0,0,115.0
HOUSTON-HOBBY,B-737-200,None,6/14/94 0:00,SOUTHWEST AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,220.0
SAN ANTONIO INTL,B-737-200,None,5/3/90 0:00,SOUTHWEST AIRLINES,Texas,Descent,Small,Unknown bird - small,Night,0,0,0,320.0
CHICAGO O'HARE INTL ARPT,MD-80,None,8/9/00 0:00,AMERICAN AIRLINES,Illinois,Landing Roll,Small,Unknown bird - small,Day,0,0,0,60.0
NEWARK LIBERTY INTL ARPT,MD-80,None,10/24/90 0:00,CONTINENTAL AIRLINES,New Jersey,Take-off run,Medium,Unknown bird - medium,Night,0,0,0,
RONALD REAGAN WASHINGTON NATL,MD-80,None,9/25/95 0:00,AMERICAN AIRLINES,DC,Climb,Small,Unknown bird - small,Day,0,0,0,165.0
